Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Partition,0.6406,0.6867
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Carton,1.6551,1.653
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Label,1.6338,1.6321
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Bottle,10.71,10.562
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Crown,0.6444,0.6688
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Packaging-Other,0.1475,0.1177
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Repair&Maintenance,0.1966,0.3889
