Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER KEG 30L,Carton,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Label,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Bottle,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Crown,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Packaging-Other,0.0006,0.0006
FEB_2024,Singha 5.0%,BEER KEG 30L,Miscellaneous,0.0248,0.0247
FEB_2024,Singha 5.0%,BEER KEG 30L,TaxS15,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,TaxS30,50.5085,50.5085
FEB_2024,Singha 5.0%,BEER KEG 30L,Excise Singha B320,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Excise Singha 620,0,0
FEB_2024,Singha 5.0%,BEER KEG 30L,Repair&Maintenance,0.1446,0.3607
FEB_2024,Singha 5.0%,BEER KEG 30L,Overtime,0.1812,0.1273
FEB_2024,Singha 5.0%,BEER KEG 15L,Malt,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Hop,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Additive,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Syrup,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Fuel,0.1490,0.1332
FEB_2024,Singha 5.0%,BEER KEG 15L,Power&Utilities,0.1607,0.0764
FEB_2024,Singha 5.0%,BEER KEG 15L,Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER KEG 15L,Chemicals-CIP,0.0184,0.0260
FEB_2024,Singha 5.0%,BEER KEG 15L,Chemicals-Filling,0,0.0001
FEB_2024,Singha 5.0%,BEER KEG 15L,Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER KEG 15L,Cap,0.2000,0.2000
FEB_2024,Singha 5.0%,BEER KEG 15L,Sticker,0.0367,0.0367
FEB_2024,Singha 5.0%,BEER KEG 15L,Partition,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Carton,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Label,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Bottle,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Crown,0,0
